j.n.smith	51620	
b.yearwood	42356	
l.kistner	38205	
u.orellano	37268	
r.applegarth	35577	
l.busk	34639	
z.lee	33448	
a.anderson	33441	
r.lowe	33214	
s.i.lee	32678
