main 	 36046
main-tariffs 	 6077
main-news 	 5848
main-archive 	 5464
main-family 	 4549
main-digital 	 3940
main-bonus 	 3273
main-tariffs-news 	 1121
main-news-tariffs 	 1070
main-tariffs-archive 	 977
main-archive-news 	 956
main-news-archive 	 945
main-archive-tariffs 	 939
main-family-tariffs 	 868
main-tariffs-family 	 862
main-news-family 	 857
main-family-news 	 817
main-archive-family 	 776
main-news-digital 	 768
main-family-archive 	 734
main-tariffs-main 	 733
main-digital-news 	 719
main-tariffs-digital 	 710
main-digital-tariffs 	 691
main-news-main 	 672
main-archive-digital 	 655
main-spravka 	 652
main-digital-archive 	 642
main-tariffs-bonus 	 616
main-archive-main 	 586
